one,other,angle
220,205,1.9186083996350587
220,219,86.53222433195076
220,221,1.4690895893672096
220,222,91.94956181080515
221,236,90.04199128086714
221,237,0.9687107142044964
221,220,1.4690895893672096
221,222,89.51952741325199
222,223,1.6246582013086035
222,218,89.89475574449024
222,220,91.94956181080515
222,221,89.51952741325199
223,224,86.81217942273544
223,225,4.944187182059516
223,216,92.04021604834534
223,218,88.48058640403292
223,252,6.19186968528812
223,222,1.6246582013086035
224,223,86.81217942273544
224,225,88.24363351784098
224,232,89.01220748912317
224,233,0.5018973409133898
224,234,91.9049870575312
224,216,1.1476050506492048
225,223,4.944187182059516
225,224,88.24363351784098
225,226,3.4168400760608755
225,214,88.34179466047804
225,216,92.90397103102914
226,225,3.4168400760608755
226,227,0.3120825154162954
226,228,39.43849134146525
226,229,87.59710605017214
226,212,91.16349918543884
226,214,88.24136538283653
227,226,0.3120825154162954
227,228,140.24942892709404
227,229,92.09081421000576
227,212,89.14858059581832
227,152,70.4918565167104
227,153,86.79271214123682
228,226,39.43849134146525
228,227,140.24942892709404
228,229,131.8413852816829
228,212,49.398009537131074
228,150,73.6453743566267
228,246,90.94229580989624
229,226,87.59710605017214
229,227,92.09081421000576
229,228,131.8413852816829
229,230,88.69079490389964
229,212,1.239396106421206
229,245,32.856063527921854
229,244,91.33337051199716
230,231,90.56703811670981
230,232,0.4210087227407505
230,229,88.69079490389964
231,230,90.56703811670981
231,232,89.01195402560275
231,243,6.099793799869372
231,244,89.40879646729935
232,224,89.01220748912317
232,230,0.4210087227407505
232,231,89.01195402560275
232,233,90.48589597569357
232,234,0.917194781165784
233,224,0.5018973409133898
233,232,90.48589597569357
233,234,88.59690948802843
233,241,97.41761286398471
233,242,2.0045708725089897
234,224,91.9049870575312
234,232,0.917194781165784
234,233,88.59690948802843
234,235,88.73272234328894
234,236,0.09666264887991964
235,234,88.73272234328894
235,236,91.17062071762932
235,239,87.97736191755703
235,240,3.7653360807708434
235,241,85.25275530475848
236,234,0.09666264887991964
236,235,91.17062071762932
236,237,88.989298404355
236,221,90.04199128086714
237,236,88.989298404355
237,238,6.963266356923102
237,239,91.86271896047813
237,221,0.9687107142044964
238,239,95.10054730713743
238,251,69.35882962800737
238,237,6.963266356923102
239,235,87.97736191755703
239,237,91.86271896047813
239,238,95.10054730713743
239,240,88.25730225548519
